observation_date,CPIMEDSL
1992-08-01,191.500
1992-09-01,192.400
1992-10-01,193.500
1992-11-01,194.500
1992-12-01,195.300
1993-01-01,196.400
1993-02-01,197.400
1993-03-01,198.100
1993-04-01,199.100
1993-05-01,200.500
1993-06-01,201.300
1993-07-01,202.200
1993-08-01,202.800
1993-09-01,203.600
1993-10-01,204.500
1993-11-01,205.100
1993-12-01,205.800
1994-01-01,206.400
1994-02-01,207.200
1994-03-01,207.900
1994-04-01,209.000
1994-05-01,209.700
1994-06-01,210.500
1994-07-01,211.300
1994-08-01,212.200
1994-09-01,213.100
1994-10-01,214.100
1994-11-01,215.000
1994-12-01,215.900
1995-01-01,216.600
1995-02-01,217.400
1995-03-01,218.100
1995-04-01,218.600
1995-05-01,219.200
1995-06-01,219.900
1995-07-01,220.600
1995-08-01,221.600
1995-09-01,222.400
1995-10-01,223.000
1995-11-01,223.700
1995-12-01,224.300
1996-01-01,225.200
1996-02-01,225.700
1996-03-01,226.200
1996-04-01,226.800
1996-05-01,227.400
1996-06-01,228.000
1996-07-01,228.600
1996-08-01,229.100
1996-09-01,229.700
1996-10-01,230.300
1996-11-01,231.000
1996-12-01,231.200
1997-01-01,231.800
1997-02-01,232.200
1997-03-01,233.000
1997-04-01,233.500
1997-05-01,234.100
1997-06-01,234.400
1997-07-01,234.700
1997-08-01,235.100
1997-09-01,235.500
1997-10-01,236.100
1997-11-01,236.900
1997-12-01,237.800
1998-01-01,238.100
1998-02-01,238.800
1998-03-01,239.400
1998-04-01,240.300
1998-05-01,241.200
1998-06-01,241.800
1998-07-01,242.500
1998-08-01,243.300
1998-09-01,244.100
1998-10-01,244.800
1998-11-01,245.300
1998-12-01,245.900
1999-01-01,246.500
1999-02-01,247.300
1999-03-01,247.900
1999-04-01,248.700
1999-05-01,249.300
1999-06-01,250.000
1999-07-01,250.900
1999-08-01,251.700
1999-09-01,252.500
1999-10-01,253.100
1999-11-01,253.900
1999-12-01,254.900
2000-01-01,255.600
2000-02-01,256.500
2000-03-01,257.700
2000-04-01,258.400
2000-05-01,259.200
2000-06-01,260.300
2000-07-01,261.200
2000-08-01,262.400
2000-09-01,263.300
2000-10-01,264.100
2000-11-01,264.700
2000-12-01,265.600
2001-01-01,267.200
2001-02-01,268.300
2001-03-01,269.400
2001-04-01,270.400
2001-05-01,271.300
2001-06-01,272.400
2001-07-01,272.800
2001-08-01,274.300
2001-09-01,275.200
2001-10-01,276.300
2001-11-01,277.400
2001-12-01,278.200
2002-01-01,279.800
2002-02-01,280.400
2002-03-01,281.400
2002-04-01,282.700
2002-05-01,283.900
2002-06-01,284.600
2002-07-01,286.400
2002-08-01,287.200
2002-09-01,288.100
2002-10-01,289.800
2002-11-01,291.200
2002-12-01,292.100
2003-01-01,292.700
2003-02-01,293.000
2003-03-01,293.400
2003-04-01,294.000
2003-05-01,295.200
2003-06-01,296.100
2003-07-01,297.400
2003-08-01,298.300
2003-09-01,299.800
2003-10-01,300.400
2003-11-01,301.400
2003-12-01,303.000
2004-01-01,303.800
2004-02-01,305.200
2004-03-01,306.500
2004-04-01,307.800
2004-05-01,308.600
2004-06-01,309.800
2004-07-01,310.800
2004-08-01,311.800
2004-09-01,312.900
2004-10-01,314.000
2004-11-01,314.700
2004-12-01,315.800
2005-01-01,316.900
2005-02-01,318.400
2005-03-01,319.700
2005-04-01,320.700
2005-05-01,321.800
2005-06-01,322.800
2005-07-01,324.100
2005-08-01,324.200
2005-09-01,325.300
2005-10-01,326.900
2005-11-01,328.700
2005-12-01,329.200
2006-01-01,329.600
2006-02-01,331.200
2006-03-01,332.600
2006-04-01,333.800
2006-05-01,335.000
2006-06-01,336.000
2006-07-01,336.900
2006-08-01,338.100
2006-09-01,339.100
2006-10-01,340.000
2006-11-01,340.800
2006-12-01,341.200
2007-01-01,343.579
2007-02-01,345.350
2007-03-01,345.899
2007-04-01,347.320
2007-05-01,348.491
2007-06-01,349.513
2007-07-01,351.719
2007-08-01,353.376
2007-09-01,354.531
2007-10-01,356.343
2007-11-01,357.750
2007-12-01,358.908
2008-01-01,360.463
2008-02-01,360.750
2008-03-01,361.533
2008-04-01,362.072
2008-05-01,362.658
2008-06-01,363.671
2008-07-01,364.156
2008-08-01,364.977
2008-09-01,365.841
2008-10-01,366.530
2008-11-01,367.459
2008-12-01,368.748
2009-01-01,369.824
2009-02-01,370.853
2009-03-01,371.705
2009-04-01,373.077
2009-05-01,374.359
2009-06-01,375.177
2009-07-01,376.001
2009-08-01,377.091
2009-09-01,378.359
2009-10-01,379.291
2009-11-01,380.450
2009-12-01,381.111
2010-01-01,382.742
2010-02-01,384.308
2010-03-01,385.712
2010-04-01,386.589
2010-05-01,387.094
2010-06-01,388.188
2010-07-01,388.123
2010-08-01,389.059
2010-09-01,391.288
2010-10-01,391.926
2010-11-01,392.535
2010-12-01,393.514
2011-01-01,394.072
2011-02-01,395.518
2011-03-01,396.290
2011-04-01,397.701
2011-05-01,398.721
2011-06-01,399.416
2011-07-01,400.539
2011-08-01,401.387
2011-09-01,402.202
2011-10-01,404.068
2011-11-01,405.751
2011-12-01,407.230
2012-01-01,408.394
2012-02-01,408.890
2012-03-01,410.257
2012-04-01,411.475
2012-05-01,412.864
2012-06-01,415.289
2012-07-01,417.004
2012-08-01,417.555
2012-09-01,418.453
2012-10-01,419.070
2012-11-01,419.509
2012-12-01,420.321
2013-01-01,421.114
2013-02-01,421.601
2013-03-01,423.089
2013-04-01,423.025
2013-05-01,422.316
2013-06-01,424.286
2013-07-01,425.008
2013-08-01,427.168
2013-09-01,428.290
2013-10-01,428.586
2013-11-01,428.485
2013-12-01,428.622
2014-01-01,429.989
2014-02-01,431.137
2014-03-01,432.211
2014-04-01,433.260
2014-05-01,434.262
2014-06-01,435.187
2014-07-01,435.864
2014-08-01,436.041
2014-09-01,437.091
2014-10-01,437.758
2014-11-01,439.408
2014-12-01,441.464
2015-01-01,441.351
2015-02-01,441.101
2015-03-01,442.943
2015-04-01,445.822
2015-05-01,446.743
2015-06-01,446.330
2015-07-01,446.953
2015-08-01,446.612
2015-09-01,447.648
2015-10-01,450.681
2015-11-01,452.225
2015-12-01,452.732
2016-01-01,454.194
2016-02-01,456.922
2016-03-01,457.723
2016-04-01,459.245
2016-05-01,460.487
2016-06-01,462.090
2016-07-01,464.439
2016-08-01,469.020
2016-09-01,469.816
2016-10-01,469.749
2016-11-01,469.914
2016-12-01,470.539
2017-01-01,471.484
2017-02-01,473.139
2017-03-01,473.685
2017-04-01,473.007
2017-05-01,472.981
2017-06-01,474.492
2017-07-01,476.279
2017-08-01,477.199
2017-09-01,477.190
2017-10-01,477.671
2017-11-01,477.791
2017-12-01,478.891
2018-01-01,480.797
2018-02-01,481.600
2018-03-01,483.078
2018-04-01,483.577
2018-05-01,484.543
2018-06-01,486.209
2018-07-01,485.246
2018-08-01,484.273
2018-09-01,485.039
2018-10-01,485.652
2018-11-01,487.615
2018-12-01,488.820
2019-01-01,489.968
2019-02-01,490.160
2019-03-01,491.412
2019-04-01,492.970
2019-05-01,494.859
2019-06-01,495.745
2019-07-01,497.714
2019-08-01,500.662
2019-09-01,501.710
2019-10-01,506.433
2019-11-01,508.315
2019-12-01,510.875
2020-01-01,511.854
2020-02-01,512.967
2020-03-01,514.743
2020-04-01,516.770
2020-05-01,519.152
2020-06-01,520.867
2020-07-01,522.675
2020-08-01,522.922
2020-09-01,522.947
2020-10-01,520.943
2020-11-01,520.567
2020-12-01,519.866
2021-01-01,521.774
2021-02-01,523.455
2021-03-01,523.943
2021-04-01,524.390
2021-05-01,523.935
2021-06-01,523.117
2021-07-01,524.376
2021-08-01,524.785
2021-09-01,525.098
2021-10-01,527.688
2021-11-01,529.529
2021-12-01,531.041
2022-01-01,534.649
2022-02-01,536.283
2022-03-01,538.973
2022-04-01,541.350
2022-05-01,543.521
2022-06-01,546.840
2022-07-01,549.967
2022-08-01,553.036
2022-09-01,556.558
2022-10-01,554.071
2022-11-01,551.402
2022-12-01,551.943
2023-01-01,550.887
2023-02-01,548.946
2023-03-01,547.054
2023-04-01,547.039
2023-05-01,547.452
2023-06-01,547.487
2023-07-01,547.356
2023-08-01,547.848
2023-09-01,548.636
2023-10-01,549.746
2023-11-01,552.230
2023-12-01,554.294
2024-01-01,556.567
2024-02-01,556.727
2024-03-01,559.182
2024-04-01,561.416
2024-05-01,564.235
2024-06-01,565.299
2024-07-01,564.919
2024-08-01,564.364
2024-09-01,566.497
2024-10-01,567.835
2024-11-01,569.160
2024-12-01,569.902
2025-01-01,571.234
2025-02-01,572.797
2025-03-01,573.966
2025-04-01,576.785
2025-05-01,578.236
2025-06-01,580.978
2025-07-01,584.770
